
Strategy Name,Parent Family,Type,Core / Subtype / Variation,Core Logic,How it Works,Typical Use Case,Known Users / Origin,Evidence Type,Confidence Level
NR7/NR4 Range Breakout (Swing),Volatility Expansion/Contraction,Technical,Variation,A very narrow range often precedes a strong move; break above or below narrow bar’s range provides entry.,Identify narrowest range bar in last N bars and trade breakout Applied on a swing basis with time-specific entry and exit rules.,Used by swing traders to capture multi-day moves.,Not clearly attributable,Common practice,Medium
Fibonacci Retracement Confluence,Indicator‑Based Systems,Technical,Core,"Pullbacks to 38.2%, 50%, or 61.8% levels often align with prior structure; traders enter with confirmation at these levels.",Combine Fibonacci retracement levels with other support/resistance for entries,General use across trading horizons.,Not clearly attributable,Common practice,Medium
Fibonacci Retracement Confluence (Intraday),Indicator‑Based Systems,Technical,Variation,"Pullbacks to 38.2%, 50%, or 61.8% levels often align with prior structure; traders enter with confirmation at these levels.",Combine Fibonacci retracement levels with other support/resistance for entries Applied on a intraday basis with time-specific entry and exit rules.,Used by day traders and scalpers for short-term trades.,Not clearly attributable,Common practice,Medium
Fibonacci Retracement Confluence (Swing),Indicator‑Based Systems,Technical,Variation,"Pullbacks to 38.2%, 50%, or 61.8% levels often align with prior structure; traders enter with confirmation at these levels.",Combine Fibonacci retracement levels with other support/resistance for entries Applied on a swing basis with time-specific entry and exit rules.,Used by swing traders to capture multi-day moves.,Not clearly attributable,Common practice,Medium
Round Number Bounce,Support and Resistance Trading,Technical,Core,Big round numbers attract orders and tend to act as magnets; traders watch for bounces or breaks at these levels.,"Trade reactions at psychological price levels (e.g., $5,000)",General use across trading horizons.,Not clearly attributable,Common practice,Medium
Round Number Bounce (Intraday),Support and Resistance Trading,Technical,Variation,Big round numbers attract orders and tend to act as magnets; traders watch for bounces or breaks at these levels.,"Trade reactions at psychological price levels (e.g., $5,000) Applied on a intraday basis with time-specific entry and exit rules.",Used by day traders and scalpers for short-term trades.,Not clearly attributable,Common practice,Medium
Round Number Bounce (Swing),Support and Resistance Trading,Technical,Variation,Big round numbers attract orders and tend to act as magnets; traders watch for bounces or breaks at these levels.,"Trade reactions at psychological price levels (e.g., $5,000) Applied on a swing basis with time-specific entry and exit rules.",Used by swing traders to capture multi-day moves.,Not clearly attributable,Common practice,Medium
Price Channel Break (Keltner Channel),Indicator‑Based Systems,Technical,Core,Keltner channels are based on ATR; a close outside the channel signals strong momentum and potential trend continuation.,Use Keltner Channels to identify breakouts beyond channel boundaries,General use across trading horizons.,Not clearly attributable,Common practice,Medium
Price Channel Break (Keltner Channel) (Intraday),Indicator‑Based Systems,Technical,Variation,Keltner channels are based on ATR; a close outside the channel signals strong momentum and potential trend continuation.,Use Keltner Channels to identify breakouts beyond channel boundaries Applied on a intraday basis with time-specific entry and exit rules.,Used by day traders and scalpers for short-term trades.,Not clearly attributable,Common practice,Medium
Price Channel Break (Keltner Channel) (Swing),Indicator‑Based Systems,Technical,Variation,Keltner channels are based on ATR; a close outside the channel signals strong momentum and potential trend continuation.,Use Keltner Channels to identify breakouts beyond channel boundaries Applied on a swing basis with time-specific entry and exit rules.,Used by swing traders to capture multi-day moves.,Not clearly attributable,Common practice,Medium
SuperTrend Indicator Strategy,Indicator‑Based Systems,Technical,Core,"When price closes above the SuperTrend line, it signals an uptrend; the indicator flips to provide trailing stop and reversal signals.",Use SuperTrend (ATR‑based) indicator to determine trend direction,General use across trading horizons.,Not clearly attributable,Common practice,Medium
SuperTrend Indicator Strategy (Intraday),Indicator‑Based Systems,Technical,Variation,"When price closes above the SuperTrend line, it signals an uptrend; the indicator flips to provide trailing stop and reversal signals.",Use SuperTrend (ATR‑based) indicator to determine trend direction Applied on a intraday basis with time-specific entry and exit rules.,Used by day traders and scalpers for short-term trades.,Not clearly attributable,Common practice,Medium
SuperTrend Indicator Strategy (Swing),Indicator‑Based Systems,Technical,Variation,"When price closes above the SuperTrend line, it signals an uptrend; the indicator flips to provide trailing stop and reversal signals.",Use SuperTrend (ATR‑based) indicator to determine trend direction Applied on a swing basis with time-specific entry and exit rules.,Used by swing traders to capture multi-day moves.,Not clearly attributable,Common practice,Medium
Trend + Volume Confirmation,Confirmation Variant,Technical,Core,"Trend signals from moving averages are validated only when accompanied by high volume, reducing false signals.",Combine a trend indicator with volume surge for entry,General use across trading horizons.,Not clearly attributable,Common practice,Medium
Trend + Volume Confirmation (Intraday),Confirmation Variant,Technical,Variation,"Trend signals from moving averages are validated only when accompanied by high volume, reducing false signals.",Combine a trend indicator with volume surge for entry Applied on a intraday basis with time-specific entry and exit rules.,Used by day traders and scalpers for short-term trades.,Not clearly attributable,Common practice,Medium
Trend + Volume Confirmation (Swing),Confirmation Variant,Technical,Variation,"Trend signals from moving averages are validated only when accompanied by high volume, reducing false signals.",Combine a trend indicator with volume surge for entry Applied on a swing basis with time-specific entry and exit rules.,Used by swing traders to capture multi-day moves.,Not clearly attributable,Common practice,Medium
Real Yield Decline (Long Gold),Real Yield‑Based Strategies,Macro/Fundamental,Core,"Lower real yields reduce the opportunity cost of holding non‑yielding gold; historically, falling real yields correlate with rising gold prices.",Monitor TIPS or real yields; go long gold when real yields decline,Position traders and macro investors adjust exposure based on macro drivers.,Not clearly attributable,Academic,High
Real Yield Decline (Long Gold) (Swing),Real Yield‑Based Strategies,Macro/Fundamental,Variation,"Lower real yields reduce the opportunity cost of holding non‑yielding gold; historically, falling real yields correlate with rising gold prices.",Monitor TIPS or real yields; go long gold when real yields decline Applied on a swing basis with time-specific entry and exit rules.,Position traders and macro investors adjust exposure based on macro drivers.,Not clearly attributable,Academic,High
Real Yield Rise (Short Gold),Real Yield‑Based Strategies,Macro/Fundamental,Core,Rising real yields make bonds more attractive relative to gold; gold prices often soften when real yields increase.,Short gold when real yields rise significantly,Position traders and macro investors adjust exposure based on macro drivers.,Not clearly attributable,Academic,Medium
Real Yield Rise (Short Gold) (Swing),Real Yield‑Based Strategies,Macro/Fundamental,Variation,Rising real yields make bonds more attractive relative to gold; gold prices often soften when real yields increase.,Short gold when real yields rise significantly Applied on a swing basis with time-specific entry and exit rules.,Position traders and macro investors adjust exposure based on macro drivers.,Not clearly attributable,Academic,Medium
Fed Dovish Pivot (Long Gold),Interest Rate Expectation Strategies,Macro/Fundamental,Core,"Lower interest rates reduce the opportunity cost of holding gold and typically weaken the USD, boosting gold demand.",Position long ahead of anticipated interest rate cuts or dovish central bank guidance,Position traders and macro investors adjust exposure based on macro drivers.,Not clearly attributable,Institutional,High
Fed Dovish Pivot (Long Gold) (Swing),Interest Rate Expectation Strategies,Macro/Fundamental,Variation,"Lower interest rates reduce the opportunity cost of holding gold and typically weaken the USD, boosting gold demand.",Position long ahead of anticipated interest rate cuts or dovish central bank guidance Applied on a swing basis with time-specific entry and exit rules.,Position traders and macro investors adjust exposure based on macro drivers.,Not clearly attributable,Institutional,High
Fed Hawkish Pivot (Short Gold),Interest Rate Expectation Strategies,Macro/Fundamental,Core,"Higher interest rates and a stronger USD increase the opportunity cost of holding gold, pressuring prices.",Short gold when central banks signal tightening or rate hikes,Position traders and macro investors adjust exposure based on macro drivers.,Not clearly attributable,Institutional,High
Fed Hawkish Pivot (Short Gold) (Swing),Interest Rate Expectation Strategies,Macro/Fundamental,Variation,"Higher interest rates and a stronger USD increase the opportunity cost of holding gold, pressuring prices.",Short gold when central banks signal tightening or rate hikes Applied on a swing basis with time-specific entry and exit rules.,Position traders and macro investors adjust exposure based on macro drivers.,Not clearly attributable,Institutional,High
Inflation Hedge (Long Gold),Inflation Hedge Strategies,Macro/Fundamental,Core,Gold is traditionally viewed as a hedge against inflation; rising inflation expectations often drive investment demand.,Go long gold when inflation expectations rise,Position traders and macro investors adjust exposure based on macro drivers.,Not clearly attributable,Academic,High
Inflation Hedge (Long Gold) (Swing),Inflation Hedge Strategies,Macro/Fundamental,Variation,Gold is traditionally viewed as a hedge against inflation; rising inflation expectations often drive investment demand.,Go long gold when inflation expectations rise Applied on a swing basis with time-specific entry and exit rules.,Position traders and macro investors adjust exposure based on macro drivers.,Not clearly attributable,Academic,High
USD Weakness (Long Gold),USD Correlation Strategies,Macro/Fundamental,Core,Gold and USD often have an inverse relationship; a weaker dollar makes gold cheaper for holders of other currencies.,Long gold when the DXY falls or USD weakens relative to peers,Position traders and macro investors adjust exposure based on macro drivers.,Not clearly attributable,Academic,High
USD Weakness (Long Gold) (Swing),USD Correlation Strategies,Macro/Fundamental,Variation,Gold and USD often have an inverse relationship; a weaker dollar makes gold cheaper for holders of other currencies.,Long gold when the DXY falls or USD weakens relative to peers Applied on a swing basis with time-specific entry and exit rules.,Position traders and macro investors adjust exposure based on macro drivers.,Not clearly attributable,Academic,High
USD Strength (Short Gold),USD Correlation Strategies,Macro/Fundamental,Core,A stronger dollar can dampen gold prices as investors shift to dollar assets; gold becomes more expensive for non‑USD investors.,Short gold when the USD index rallies strongly,Position traders and macro investors adjust exposure based on macro drivers.,Not clearly attributable,Academic,Medium
USD Strength (Short Gold) (Swing),USD Correlation Strategies,Macro/Fundamental,Variation,A stronger dollar can dampen gold prices as investors shift to dollar assets; gold becomes more expensive for non‑USD investors.,Short gold when the USD index rallies strongly Applied on a swing basis with time-specific entry and exit rules.,Position traders and macro investors adjust exposure based on macro drivers.,Not clearly attributable,Academic,Medium
Yield Curve Inversion (Long Gold),Recession/Slowdown Strategies,Macro/Fundamental,Core,An inverted yield curve signals recession risk; investors often seek safe‑haven assets like gold in anticipation of economic slowdown.,Go long gold when the yield curve (2s/10s) inverts,Position traders and macro investors adjust exposure based on macro drivers.,Not clearly attributable,Institutional,Medium
Yield Curve Inversion (Long Gold) (Swing),Recession/Slowdown Strategies,Macro/Fundamental,Variation,An inverted yield curve signals recession risk; investors often seek safe‑haven assets like gold in anticipation of economic slowdown.,Go long gold when the yield curve (2s/10s) inverts Applied on a swing basis with time-specific entry and exit rules.,Position traders and macro investors adjust exposure based on macro drivers.,Not clearly attributable,Institutional,Medium
High Volatility Risk‑Off (Long Gold),Safe‑Haven Flow Strategies,Macro/Fundamental,Core,"During market stress or equity sell‑offs, gold can attract safe‑haven flows; high VIX or risk‑off sentiment triggers demand.",Long gold when risk‑off indicators like VIX spike,Position traders and macro investors adjust exposure based on macro drivers.,Not clearly attributable,Broker,High
High Volatility Risk‑Off (Long Gold) (Swing),Safe‑Haven Flow Strategies,Macro/Fundamental,Variation,"During market stress or equity sell‑offs, gold can attract safe‑haven flows; high VIX or risk‑off sentiment triggers demand.",Long gold when risk‑off indicators like VIX spike Applied on a swing basis with time-specific entry and exit rules.,Position traders and macro investors adjust exposure based on macro drivers.,Not clearly attributable,Broker,High
Geopolitical Risk (Long Gold),Geopolitical Risk Strategies,Macro/Fundamental,Core,Heightened geopolitical uncertainty increases demand for safe‑haven assets; gold often rallies during crises.,Long gold in response to geopolitical tensions or conflict,Position traders and macro investors adjust exposure based on macro drivers.,Not clearly attributable,Institutional,High
Geopolitical Risk (Long Gold) (Swing),Geopolitical Risk Strategies,Macro/Fundamental,Variation,Heightened geopolitical uncertainty increases demand for safe‑haven assets; gold often rallies during crises.,Long gold in response to geopolitical tensions or conflict Applied on a swing basis with time-specific entry and exit rules.,Position traders and macro investors adjust exposure based on macro drivers.,Not clearly attributable,Institutional,High
Central Bank Net Buying (Long Gold),Central Bank Gold Strategies,Macro/Fundamental,Core,Central bank purchases provide a price floor and signal long‑term demand; aligning with their buying can support prices.,Monitor central bank purchase data; accumulate gold when net buying is strong,Position traders and macro investors adjust exposure based on macro drivers.,Not clearly attributable,Institutional,High
Central Bank Net Buying (Long Gold) (Swing),Central Bank Gold Strategies,Macro/Fundamental,Variation,Central bank purchases provide a price floor and signal long‑term demand; aligning with their buying can support prices.,Monitor central bank purchase data; accumulate gold when net buying is strong Applied on a swing basis with time-specific entry and exit rules.,Position traders and macro investors adjust exposure based on macro drivers.,Not clearly attributable,Institutional,High
Central Bank Net Selling (Short Gold),Central Bank Gold Strategies,Macro/Fundamental,Core,Large-scale sales from reserves can add supply and weigh on gold prices.,Short gold when central banks are net sellers,Position traders and macro investors adjust exposure based on macro drivers.,Not clearly attributable,Institutional,Medium
Central Bank Net Selling (Short Gold) (Swing),Central Bank Gold Strategies,Macro/Fundamental,Variation,Large-scale sales from reserves can add supply and weigh on gold prices.,Short gold when central banks are net sellers Applied on a swing basis with time-specific entry and exit rules.,Position traders and macro investors adjust exposure based on macro drivers.,Not clearly attributable,Institutional,Medium
De-Dollarization Theme (Long Gold),Macro Narratives,Macro/Fundamental,Core,Efforts by countries to reduce reliance on USD bolster gold demand as a neutral reserve asset.,Long gold when countries diversify reserves away from USD,Position traders and macro investors adjust exposure based on macro drivers.,Not clearly attributable,Institutional,Medium
De-Dollarization Theme (Long Gold) (Swing),Macro Narratives,Macro/Fundamental,Variation,Efforts by countries to reduce reliance on USD bolster gold demand as a neutral reserve asset.,Long gold when countries diversify reserves away from USD Applied on a swing basis with time-specific entry and exit rules.,Position traders and macro investors adjust exposure based on macro drivers.,Not clearly attributable,Institutional,Medium
Supply Disruption (Long Gold),Supply/Demand Dynamics,Macro/Fundamental,Core,"Unexpected supply shortages or high extraction costs reduce gold supply, potentially pushing prices higher.",Long gold when mine supply disruptions occur,Position traders and macro investors adjust exposure based on macro drivers.,Not clearly attributable,Institutional,Medium
Supply Disruption (Long Gold) (Swing),Supply/Demand Dynamics,Macro/Fundamental,Variation,"Unexpected supply shortages or high extraction costs reduce gold supply, potentially pushing prices higher.",Long gold when mine supply disruptions occur Applied on a swing basis with time-specific entry and exit rules.,Position traders and macro investors adjust exposure based on macro drivers.,Not clearly attributable,Institutional,Medium
COT Speculator Extreme Long (Contrarian Short),COT-Based Strategies,Sentiment/Positioning,Core,Extreme net long positioning can signal overcrowding; a reversal is likely when sentiment is one‑sided.,"When non‑commercial speculators hold extreme net longs, take a contrarian short position",Used by contrarian traders and macro analysts to gauge crowd positioning.,Not clearly attributable,Futures-market,Medium
COT Speculator Extreme Long (Contrarian Short) (Swing),COT-Based Strategies,Sentiment/Positioning,Variation,Extreme net long positioning can signal overcrowding; a reversal is likely when sentiment is one‑sided.,"When non‑commercial speculators hold extreme net longs, take a contrarian short position Applied on a swing basis with time-specific entry and exit rules.",Used by contrarian traders and macro analysts to gauge crowd positioning.,Not clearly attributable,Futures-market,Medium
COT Speculator Extreme Short (Contrarian Long),COT-Based Strategies,Sentiment/Positioning,Core,Extreme net short positioning indicates bearish capitulation; a short squeeze or reversal may follow.,"When non‑commercial speculators hold extreme net shorts, go long gold contrarily",Used by contrarian traders and macro analysts to gauge crowd positioning.,Not clearly attributable,Futures-market,Medium
COT Speculator Extreme Short (Contrarian Long) (Swing),COT-Based Strategies,Sentiment/Positioning,Variation,Extreme net short positioning indicates bearish capitulation; a short squeeze or reversal may follow.,"When non‑commercial speculators hold extreme net shorts, go long gold contrarily Applied on a swing basis with time-specific entry and exit rules.",Used by contrarian traders and macro analysts to gauge crowd positioning.,Not clearly attributable,Futures-market,Medium
COT Commercial Hedger Accumulation,COT-Based Strategies,Sentiment/Positioning,Core,Commercial hedgers often take positions opposite speculators; their accumulation may precede price rallies.,Track commercial hedgers; go long when they accumulate long positions significantly,Used by contrarian traders and macro analysts to gauge crowd positioning.,Not clearly attributable,Futures-market,Low
COT Commercial Hedger Accumulation (Swing),COT-Based Strategies,Sentiment/Positioning,Variation,Commercial hedgers often take positions opposite speculators; their accumulation may precede price rallies.,Track commercial hedgers; go long when they accumulate long positions significantly Applied on a swing basis with time-specific entry and exit rules.,Used by contrarian traders and macro analysts to gauge crowd positioning.,Not clearly attributable,Futures-market,Low
COT Divergence Signal,COT-Based Strategies,Sentiment/Positioning,Core,Divergences between COT data and price action can signal weakening trends and potential reversals.,"Identify divergences between price and positioning (e.g., price rising, spec positions flat)",Used by contrarian traders and macro analysts to gauge crowd positioning.,Not clearly attributable,Futures-market,Medium
COT Divergence Signal (Swing),COT-Based Strategies,Sentiment/Positioning,Variation,Divergences between COT data and price action can signal weakening trends and potential reversals.,"Identify divergences between price and positioning (e.g., price rising, spec positions flat) Applied on a swing basis with time-specific entry and exit rules.",Used by contrarian traders and macro analysts to gauge crowd positioning.,Not clearly attributable,Futures-market,Medium
ETF Inflow Momentum (Long),ETF Flow Strategies,Sentiment/Positioning,Core,"Consistent inflows into gold‑backed ETFs indicate strong investor demand, providing upward pressure on prices.",Go long gold when ETF flows show sustained inflows,Used by contrarian traders and macro analysts to gauge crowd positioning.,Not clearly attributable,Institutional,High
ETF Inflow Momentum (Long) (Swing),ETF Flow Strategies,Sentiment/Positioning,Variation,"Consistent inflows into gold‑backed ETFs indicate strong investor demand, providing upward pressure on prices.",Go long gold when ETF flows show sustained inflows Applied on a swing basis with time-specific entry and exit rules.,Used by contrarian traders and macro analysts to gauge crowd positioning.,Not clearly attributable,Institutional,High
ETF Outflow Indicator (Short),ETF Flow Strategies,Sentiment/Positioning,Core,Outflows suggest weakening investment demand; the resulting increase in supply may weigh on prices.,Short gold when ETF flows show persistent outflows,Used by contrarian traders and macro analysts to gauge crowd positioning.,Not clearly attributable,Institutional,High
ETF Outflow Indicator (Short) (Swing),ETF Flow Strategies,Sentiment/Positioning,Variation,Outflows suggest weakening investment demand; the resulting increase in supply may weigh on prices.,Short gold when ETF flows show persistent outflows Applied on a swing basis with time-specific entry and exit rules.,Used by contrarian traders and macro analysts to gauge crowd positioning.,Not clearly attributable,Institutional,High
Retail Sentiment Contrarian Short,Retail Positioning Strategies,Sentiment/Positioning,Core,Retail traders are often on the wrong side of major moves; contrarian positions can exploit herd bias.,"When a large majority of retail traders are long gold (e.g., >80%), take a short position",Used by contrarian traders and macro analysts to gauge crowd positioning.,Not clearly attributable,Broker,Low
Retail Sentiment Contrarian Short (Swing),Retail Positioning Strategies,Sentiment/Positioning,Variation,Retail traders are often on the wrong side of major moves; contrarian positions can exploit herd bias.,"When a large majority of retail traders are long gold (e.g., >80%), take a short position Applied on a swing basis with time-specific entry and exit rules.",Used by contrarian traders and macro analysts to gauge crowd positioning.,Not clearly attributable,Broker,Low
Retail Sentiment Contrarian Long,Retail Positioning Strategies,Sentiment/Positioning,Core,Bearish consensus among retail traders may signal an impending reversal; contrarian long positions can capitalise.,"When the majority of retail traders are short, go long",Used by contrarian traders and macro analysts to gauge crowd positioning.,Not clearly attributable,Broker,Low
Retail Sentiment Contrarian Long (Swing),Retail Positioning Strategies,Sentiment/Positioning,Variation,Bearish consensus among retail traders may signal an impending reversal; contrarian long positions can capitalise.,"When the majority of retail traders are short, go long Applied on a swing basis with time-specific entry and exit rules.",Used by contrarian traders and macro analysts to gauge crowd positioning.,Not clearly attributable,Broker,Low
Options Put/Call Ratio High (Bullish),Options Sentiment Strategies,Sentiment/Positioning,Core,A high ratio may reflect fear; contrarian bulls interpret this as an overcrowded bearish position and anticipate a bounce.,"When put/call ratio is high (excess puts), go long gold",Used by contrarian traders and macro analysts to gauge crowd positioning.,Not clearly attributable,Options market,Medium
Options Put/Call Ratio High (Bullish) (Swing),Options Sentiment Strategies,Sentiment/Positioning,Variation,A high ratio may reflect fear; contrarian bulls interpret this as an overcrowded bearish position and anticipate a bounce.,"When put/call ratio is high (excess puts), go long gold Applied on a swing basis with time-specific entry and exit rules.",Used by contrarian traders and macro analysts to gauge crowd positioning.,Not clearly attributable,Options market,Medium
Options Put/Call Ratio Low (Bearish),Options Sentiment Strategies,Sentiment/Positioning,Core,Excessive bullish option positioning can indicate complacency; a reversal downward may follow.,"When put/call ratio is low (excess calls), short gold",Used by contrarian traders and macro analysts to gauge crowd positioning.,Not clearly attributable,Options market,Medium
Options Put/Call Ratio Low (Bearish) (Swing),Options Sentiment Strategies,Sentiment/Positioning,Variation,Excessive bullish option positioning can indicate complacency; a reversal downward may follow.,"When put/call ratio is low (excess calls), short gold Applied on a swing basis with time-specific entry and exit rules.",Used by contrarian traders and macro analysts to gauge crowd positioning.,Not clearly attributable,Options market,Medium
Options Skew (Buy Puts),Options Sentiment Strategies,Sentiment/Positioning,Core,Relatively low put premium indicates market complacency about downside risk; buying puts can exploit re‑pricing during sell‑offs.,"When implied volatility skew shows cheap puts vs calls, buy puts",Used by contrarian traders and macro analysts to gauge crowd positioning.,Not clearly attributable,Options market,Medium
Options Skew (Buy Puts) (Swing),Options Sentiment Strategies,Sentiment/Positioning,Variation,Relatively low put premium indicates market complacency about downside risk; buying puts can exploit re‑pricing during sell‑offs.,"When implied volatility skew shows cheap puts vs calls, buy puts Applied on a swing basis with time-specific entry and exit rules.",Used by contrarian traders and macro analysts to gauge crowd positioning.,Not clearly attributable,Options market,Medium
Options Skew (Buy Calls),Options Sentiment Strategies,Sentiment/Positioning,Core,Cheap call implied volatility suggests underappreciated upside; buying calls can capture unexpected rallies.,"When calls are undervalued relative to puts, buy calls",Used by contrarian traders and macro analysts to gauge crowd positioning.,Not clearly attributable,Options market,Medium
Options Skew (Buy Calls) (Swing),Options Sentiment Strategies,Sentiment/Positioning,Variation,Cheap call implied volatility suggests underappreciated upside; buying calls can capture unexpected rallies.,"When calls are undervalued relative to puts, buy calls Applied on a swing basis with time-specific entry and exit rules.",Used by contrarian traders and macro analysts to gauge crowd positioning.,Not clearly attributable,Options market,Medium
Basis Arbitrage,Futures Basis Strategies,Futures/Derivatives,Core,"If futures prices deviate from fair value based on carry costs, arbitrageurs exploit the spread by buying the undervalued leg and selling the overvalued leg until convergence.",Trade discrepancies between spot and futures prices; buy spot and sell futures or vice versa,Used by derivatives traders and hedgers.,Not clearly attributable,Futures-market,High
Basis Arbitrage (Swing),Futures Basis Strategies,Futures/Derivatives,Variation,"If futures prices deviate from fair value based on carry costs, arbitrageurs exploit the spread by buying the undervalued leg and selling the overvalued leg until convergence.",Trade discrepancies between spot and futures prices; buy spot and sell futures or vice versa Applied on a swing basis with time-specific entry and exit rules.,Used by derivatives traders and hedgers.,Not clearly attributable,Futures-market,High
"Calendar Spread (Long Near, Short Far)",Calendar Spread Strategies,Futures/Derivatives,Core,"If the market is in backwardation, near‑term contracts may appreciate relative to far contracts; the spread widens as expiry approaches.",Buy near‑term gold futures and sell longer‑dated futures to profit from term structure changes,Used by derivatives traders and hedgers.,Not clearly attributable,Futures-market,High
"Calendar Spread (Long Near, Short Far) (Swing)",Calendar Spread Strategies,Futures/Derivatives,Variation,"If the market is in backwardation, near‑term contracts may appreciate relative to far contracts; the spread widens as expiry approaches.",Buy near‑term gold futures and sell longer‑dated futures to profit from term structure changes Applied on a swing basis with time-specific entry and exit rules.,Used by derivatives traders and hedgers.,Not clearly attributable,Futures-market,High
"Calendar Spread (Short Near, Long Far)",Calendar Spread Strategies,Futures/Derivatives,Core,"When gold futures are in contango, far contracts may outperform near contracts as the spread narrows approaching expiration.",Sell near‑term futures and buy longer‑dated futures to capture contango,Used by derivatives traders and hedgers.,Not clearly attributable,Futures-market,High
"Calendar Spread (Short Near, Long Far) (Swing)",Calendar Spread Strategies,Futures/Derivatives,Variation,"When gold futures are in contango, far contracts may outperform near contracts as the spread narrows approaching expiration.",Sell near‑term futures and buy longer‑dated futures to capture contango Applied on a swing basis with time-specific entry and exit rules.,Used by derivatives traders and hedgers.,Not clearly attributable,Futures-market,High
Spot–Futures Divergence Trade,Spot/Futures Divergence,Futures/Derivatives,Core,Occasional disconnects between spot and futures markets present arbitrage opportunities; aligning both legs can capture mean reversion.,Identify significant divergences between spot and futures prices and arbitrage the difference,Used by derivatives traders and hedgers.,Not clearly attributable,Futures-market,High
Spot–Futures Divergence Trade (Swing),Spot/Futures Divergence,Futures/Derivatives,Variation,Occasional disconnects between spot and futures markets present arbitrage opportunities; aligning both legs can capture mean reversion.,Identify significant divergences between spot and futures prices and arbitrage the difference Applied on a swing basis with time-specific entry and exit rules.,Used by derivatives traders and hedgers.,Not clearly attributable,Futures-market,High
Event Straddle,Options Volatility Strategies,Futures/Derivatives,Core,Gold volatility often spikes around major announcements; buying a straddle seeks to profit from a large move in either direction.,Buy both calls and puts (straddle) ahead of major macro events such as FOMC or CPI,Used by derivatives traders and hedgers.,Not clearly attributable,Options market,High
Event Straddle (Swing),Options Volatility Strategies,Futures/Derivatives,Variation,Gold volatility often spikes around major announcements; buying a straddle seeks to profit from a large move in either direction.,Buy both calls and puts (straddle) ahead of major macro events such as FOMC or CPI Applied on a swing basis with time-specific entry and exit rules.,Used by derivatives traders and hedgers.,Not clearly attributable,Options market,High
Event Strangle,Options Volatility Strategies,Futures/Derivatives,Core,A strangle is cheaper than a straddle; it profits from large moves beyond both strikes; used when expecting high volatility but uncertain direction.,Buy out‑of‑the‑money call and put options ahead of news events,Used by derivatives traders and hedgers.,Not clearly attributable,Options market,Medium
Event Strangle (Swing),Options Volatility Strategies,Futures/Derivatives,Variation,A strangle is cheaper than a straddle; it profits from large moves beyond both strikes; used when expecting high volatility but uncertain direction.,Buy out‑of‑the‑money call and put options ahead of news events Applied on a swing basis with time-specific entry and exit rules.,Used by derivatives traders and hedgers.,Not clearly attributable,Options market,Medium
Volatility Selling (Short Straddle),Options Volatility Strategies,Futures/Derivatives,Core,"When implied volatility exceeds expected realised volatility, selling options can yield premium; risk managed through hedging or risk limits.",Sell at‑the‑money call and put to collect premium when implied volatility is high,Used by derivatives traders and hedgers.,Not clearly attributable,Options market,Medium
Volatility Selling (Short Straddle) (Swing),Options Volatility Strategies,Futures/Derivatives,Variation,"When implied volatility exceeds expected realised volatility, selling options can yield premium; risk managed through hedging or risk limits.",Sell at‑the‑money call and put to collect premium when implied volatility is high Applied on a swing basis with time-specific entry and exit rules.,Used by derivatives traders and hedgers.,Not clearly attributable,Options market,Medium
Gamma Scalping,Options Gamma Strategies,Futures/Derivatives,Core,"By staying long gamma and rebalancing the underlying, traders profit from price oscillations; requires active management and high liquidity.",Maintain a delta‑neutral position; buy options and hedge underlying continuously,Used by derivatives traders and hedgers.,Not clearly attributable,Options market,Medium
Gamma Scalping (Swing),Options Gamma Strategies,Futures/Derivatives,Variation,"By staying long gamma and rebalancing the underlying, traders profit from price oscillations; requires active management and high liquidity.",Maintain a delta‑neutral position; buy options and hedge underlying continuously Applied on a swing basis with time-specific entry and exit rules.,Used by derivatives traders and hedgers.,Not clearly attributable,Options market,Medium
Bull Call Spread,Vertical Spread Strategies,Futures/Derivatives,Core,Reduces premium cost while maintaining bullish exposure; profits from moderate price increases.,Buy a call option and sell a higher‑strike call to limit cost and upside,Used by derivatives traders and hedgers.,Not clearly attributable,Options market,High
Bull Call Spread (Swing),Vertical Spread Strategies,Futures/Derivatives,Variation,Reduces premium cost while maintaining bullish exposure; profits from moderate price increases.,Buy a call option and sell a higher‑strike call to limit cost and upside Applied on a swing basis with time-specific entry and exit rules.,Used by derivatives traders and hedgers.,Not clearly attributable,Options market,High
Bear Put Spread,Vertical Spread Strategies,Futures/Derivatives,Core,Provides bearish exposure with limited downside risk; profits if gold price declines moderately.,Buy a put option and sell a lower‑strike put to reduce cost,Used by derivatives traders and hedgers.,Not clearly attributable,Options market,High
Bear Put Spread (Swing),Vertical Spread Strategies,Futures/Derivatives,Variation,Provides bearish exposure with limited downside risk; profits if gold price declines moderately.,Buy a put option and sell a lower‑strike put to reduce cost Applied on a swing basis with time-specific entry and exit rules.,Used by derivatives traders and hedgers.,Not clearly attributable,Options market,High
Ratio Call Spread,Ratio Spread Strategies,Futures/Derivatives,Core,A bullish strategy that reduces premium but introduces unlimited risk above the upper strike; used when expecting modest upside.,Buy one call and sell two higher‑strike calls,Used by derivatives traders and hedgers.,Not clearly attributable,Options market,Medium
Ratio Call Spread (Swing),Ratio Spread Strategies,Futures/Derivatives,Variation,A bullish strategy that reduces premium but introduces unlimited risk above the upper strike; used when expecting modest upside.,Buy one call and sell two higher‑strike calls Applied on a swing basis with time-specific entry and exit rules.,Used by derivatives traders and hedgers.,Not clearly attributable,Options market,Medium
